id;Cup;Cm;Rm;Ra;Tau;Hold;Rest_Potential;–Ã–Ï‡ı;Slope;Decay;PDS_time;AHP_PDS;Type_PDS;Amp_Spike_PDS;Time_to_spike_PDS;Num_of_PDS;–Ã–Ïin;PDS_cluster_time;AHP_PDS;Time_bitwen_PDS;sag;Delta_sag;first_spike;Lag;apl_spike;max_spike;AHP_spike
56;50;112.94;209.7;30.4;3;2.4;-76.71;43.84;1682.43;-280.96;0.17;-40.29;2;121;0.024;5;-50.66;0.99;1;5.78;-26.89;-1.66;-61.78;0.31;105.02;16;0
57;51;120.93;321.8;32.1;3.5;7.4;-77.06;38.12;2827.65;-51.54;0.16;-70.51;2;120.99;0.017;4;-56.43;0.81;1;7.49;-41.32;-0.3;-55.91;0.03;102.42;11;-7.34
58;52;87.13;297.5;27.9;2.2;0.6;-76.05;29.13;1130.88;-84.17;0.17;-50.42;2;110.69;0.042;3;-60.46;0.5;1;4.48;-37.15;-0.85;-56.12;0.05;100.25;8;0
59;53;70.99;381.6;63.9;3.8;0.4;-79.75;69.49;2919.44;-401.46;0.26;-51.61;1;120.61;0.027;3;-47.96;0.9;1;4.33;-37.12;-1.13;-57.17;0.04;96.75;4;0
60;54;101.51;234.9;52.6;4.5;1.7;-73.13;61.54;3105.07;-666.32;0.26;-71.53;1;116.14;0.011;3;-58.65;0.9;1;4.75;-41.61;-0.51;-56.63;0.04;103.45;11;0
61;55;215.84;150.2;23.4;4.5;2.9;-72.78;62.63;4241.25;-319.89;0.21;-41.67;1;129.51;0.019;4;-49.41;0.89;-5.32;11.16;-24.13;-0.45;-63.85;0.87;124.39;9;0
62;56;141.23;243.6;36.8;4.5;2.1;-72.69;57.52;2023.28;-799.07;0.16;-45.99;1;124.52;0.014;5;-59.45;1.1;-0.1;8.33;-31.14;-1.46;-64.74;0.14;123.95;6;-6.36
63;57;73.48;482.3;46.1;3.5;6.8;-58.91;43.53;4180;-195.75;0.17;-43.46;3;111.67;0.006;5;-41.28;1.3;-1.72;9.23;-40.69;-9.21;-52.91;0.04;110.47;39;-7.57
64;58;121.01;229.81;21.5;2.4;1.5;-72.21;60.32;4052.12;-499.63;0.14;-30.7;1;121.68;0.018;6;-48.61;1.3;-1.39;8.93;-31.39;-3.45;-63.17;0.85;125.57;5;0
65;59;190.68;164.3;26.5;4.5;1.4;-73.49;57.73;3012.12;-166.16;0.19;-50.06;1;132.61;0.013;4;-55.53;1.1;-0.49;7.39;-30.21;-1.94;-65.66;0.45;129.25;5;0
66;60;123.29;184.8;35.8;3.6;-0.3;-71.25;53.15;623.99;-390.96;0.17;-13.57;2;123.35;0.017;5;-21.43;1.4;-1.75;13.19;-30.96;0.3;-59.62;0.49;117.54;13;0
67;61;62.53;422.21;46.2;2.6;-3.4;-72.92;52.21;1067.56;-80.88;0.39;-15.76;3;110.66;0.017;2;-24.54;0.65;-3.42;94.18;-53;-8;-60.63;0.02;98.44;35;0
68;62;85.24;291.8;36.3;2.6;1.4;-72.19;61.12;3368.98;-104.13;0.01;-49.87;1;105.55;0.014;4;-47.25;0.94;-4.33;32.14;-34.57;-1.57;-55.65;0.04;88.87;3;-7.76
69;63;158.93;301.8;33.1;4.2;-3.2;-70.97;68.2;4385.12;-69.51;0.19;-40.91;1;124.09;0.013;7;-13.05;1.62;-4.35;32.48;-30.27;-2.95;-67.03;0.27;131.32;16;0
70;64;63.63;519.2;65.5;3.7;-2.2;-71.02;51.37;3548.52;-82.19;0.25;-63.6;3;110.33;0.006;9;-35.73;1.54;-6.23;14.03;-44.28;-7.91;-68.87;0.07;113.55;25;-26.21
71;65;62.52;422.71;45.1;2.6;-2.4;-72.24;52.21;1087.57;-80.17;0.37;-15.51;3;100.56;0.018;2;-24.21;0.59;-3.49;94.18;-52.79;-6.85;-60.11;0.02;88.35;35;0
72;66;85.44;191.78;35.8;2.6;1.4;-71.79;60.12;3370.58;-103.17;0.02;-50.17;1;100.45;0.017;4;-47.16;0.98;-4.3;32.14;-34.53;-0.79;-54.29;0.05;87.25;10;-7.59
73;67;158.43;201.78;33.1;4.2;-3.2;-71.97;67.25;4315.92;-67.69;0.18;-39.91;1;133.1;0.013;7;-14.21;1.59;-4.32;32.48;-29.54;-2.57;-69.03;0.3;133.23;16;0
74;68;63.61;519.79;64.5;3.7;-2.2;-70.84;52.37;3550.42;-83.08;0.24;-63.69;3;103.16;0.006;8;-35.79;1.48;-6.13;14.03;-43.84;-6.37;-63.61;0.07;115.15;25;-27.77
75;69;99.8;362.29;53.5;4.5;3.4;-75.63;55.54;3051.2;-619.13;0.15;-49.99;2;124.05;0.008;6;-49.01;1.33;-1.12;7.85;-41.26;-3.11;-69.34;0.73;113.34;12;-13.39
76;70;117.9;206.71;28.9;3;2.4;-75.31;43.48;1682.43;-299.96;0.17;-39.07;2;121.01;0.024;5;-49.06;0.95;1;5.78;-27.11;-1.84;-62.45;0.27;105.53;15;0
77;71;160.93;191.8;32.9;4.2;-3.2;-71.5;67.27;4416.01;-71.31;0.19;-41;1;134.1;0.013;7;-13.98;1.66;-4.3;32.48;-29.74;-1.93;-69.71;0.27;133.46;16;0
78;72;63.01;520.7;65.5;3.7;-2.2;-70.89;52.33;3050.42;-80.08;0.25;-63.22;3;104.03;0.006;8;-35.83;1.53;-6.24;14.03;-43.82;-6;-62.11;0.07;115.95;25;-28.39
79;73;100.82;352.2;51.5;4.5;3.4;-75.48;55.64;3051.23;-611.23;0.15;-53.44;2;124.15;0.008;6;-50.17;1.32;-1.13;7.85;-40.61;-2.36;-68.22;0.73;113.48;12;-13.31
80;74;112.94;209.7;29.4;3;2.4;-75.41;43.57;1702.93;-302.07;0.17;-40.2;2;121.35;0.021;5;-50.29;0.9;1;5.78;-26.34;-0.04;-61.99;0.27;105.71;15;0
81;75;120.93;321.8;31.9;3.5;7.4;-78.86;37.15;2828.79;-52.24;0.16;-68.01;2;123.22;0.017;4;-56.7;0.7;1;7.4;-41.54;0.19;-56.37;0.03;102.71;11;-7.04
82;76;87.13;297.5;26.9;2.2;0.6;-76.95;28.11;1229.91;-84.16;0.18;-53.23;2;110.69;0.042;3;-60.12;0.4;1;4.4;-37.14;-0.78;-57.78;0.05;91.12;8;0
83;77;70.99;381.6;67.9;3.8;0.4;-80.75;68.89;2920.54;-394.65;0.27;-49.99;1;127.68;0.027;3;-48.76;0.8;1;4.33;-37.23;-1.09;-57.19;0.04;94.61;4;0
84;78;101.51;234.9;53.4;4.5;1.5;-73.32;61.01;3141.97;-653.32;0.27;-73.03;1;116.18;0.011;3;-58.54;0.8;1;4.75;-41.14;-1.01;-56.94;0.04;103.26;11;0
85;79;215.84;150.2;24.1;4.5;9;-71.48;62.73;4241.27;-321.23;0.21;-41.01;1;129.87;0.001;4;-49.41;0.9;-4.91;11.16;-23.77;-1.65;-64.19;0.74;126.79;10;0
86;80;141.23;243.6;36.6;4.5;1.5;-72.69;57.62;2021.29;-774.74;0.16;-45.59;1;125.72;0.014;5;-59.8;1;-0.19;8.33;-31.74;-2.79;-64.01;0.14;123.38;6;-6.08
87;81;73.48;482.3;46.3;3.5;6.8;-58.49;43.39;4099.64;-199.95;0.17;-41.31;3;113.65;0.006;5;-41.5;1.41;-1.61;9.23;-41.75;-10.29;-52.74;0.04;110.41;38;-7.24
88;82;122.31;187.71;34.5;3.6;-0.3;-70.23;53.18;633.29;-384.07;0.17;-13.63;2;121.3;0.015;6;-21.51;1.33;-1.98;13.19;-31.59;-0.71;-60.49;0.44;117.07;14;0
89;83;102.7;238.6;34.5;3;-1;-65.52;48.91;1342.73;-68.34;0.16;-10.89;2;110.2;0.011;8;-21.29;1.44;-3.35;12.5;-31.89;-1;-54.78;0.16;107.61;10;-8.48
